plan_tier,contract_type,auto_renew,tenure_months,seat_count,monthly_fee,discount_flag,logins_30d,active_days_30d,feature_usage_score,avg_session_minutes,onboarding_completed,time_to_first_value_days,tickets_30d,payment_failures_30d,nps_proxy,cohort_month,churn_next_30d
basic,monthly,0,10,53,26.76,0,9,15,0.653,7.97,1,5.2,1,0,34.3,19,0
pro,monthly,1,31,84,57.01,0,11,9,0.531,11.08,1,8.6,1,0,56.4,0,0
basic,monthly,1,15,50,36.71,0,16,13,0.432,9.37,1,13.5,1,0,52.8,22,1
basic,monthly,1,28,73,29.36,0,9,9,0.291,10.76,1,18.3,5,2,-5.6,17,1
pro,monthly,1,17,146,47.57,0,17,11,0.886,12.03,1,11.6,2,1,53.9,4,0
basic,monthly,1,42,135,25.19,0,11,8,0.944,17.87,0,12.1,0,3,72.7,1,0
pro,monthly,1,40,1,62.69,1,6,16,0.552,11.45,1,0.0,1,2,47.2,7,0
pro,monthly,0,22,151,65.27,0,16,11,0.778,15.43,0,12.1,5,1,10.7,1,1
pro,annual,1,34,39,61.3,0,11,11,0.899,11.9,0,6.3,1,0,48.6,18,0
pro,monthly,1,8,37,50.76,0,16,11,0.464,12.99,1,7.4,1,2,52.8,14,0
pro,monthly,1,47,109,41.6,1,5,12,0.737,14.29,1,10.7,3,2,43.1,23,0
basic,monthly,1,10,48,29.19,0,14,23,0.793,10.72,1,14.0,1,1,65.3,10,0
basic,monthly,0,41,192,14.52,0,13,24,0.507,6.55,1,9.4,3,1,29.7,4,0
basic,monthly,0,40,30,20.39,0,9,11,0.541,15.05,1,14.5,0,1,31.5,19,1
basic,monthly,1,8,31,26.81,0,16,15,0.804,11.56,1,20.5,4,1,33.2,3,0
basic,monthly,1,0,152,15.38,0,17,17,0.479,8.94,1,14.5,3,3,25.6,14,1
pro,monthly,1,35,58,61.79,0,7,17,0.572,10.53,1,10.3,3,1,20.4,23,0
basic,monthly,1,41,143,23.65,0,10,15,0.523,8.3,0,,4,0,-7.6,2,1
basic,annual,0,34,136,27.46,0,10,17,0.884,15.19,1,13.1,1,1,37.1,17,1
basic,monthly,1,2,38,27.69,0,18,15,0.7,12.17,1,21.3,2,3,30.4,13,1
basic,monthly,1,30,116,32.91,0,9,9,0.654,12.08,1,11.8,2,0,40.4,6,0
pro,monthly,0,18,107,68.42,0,11,17,0.772,16.05,0,12.2,1,0,65.6,18,0
pro,monthly,1,43,19,63.25,1,8,12,0.477,11.16,1,15.5,3,3,48.1,6,1
pro,annual,1,38,153,53.1,0,10,14,0.779,17.4,1,7.2,1,0,46.7,16,0
pro,monthly,1,38,171,64.67,0,12,7,0.602,11.55,1,11.8,1,0,,17,0
basic,monthly,0,19,189,28.54,0,10,9,0.525,6.63,0,19.5,2,1,40.2,15,1
pro,monthly,0,15,18,62.3,0,18,12,0.636,9.15,1,11.4,1,0,65.1,8,0
basic,monthly,1,39,36,26.32,0,9,14,0.73,10.2,1,17.3,4,0,50.2,22,0
basic,annual,1,5,165,27.74,0,15,20,0.89,13.68,1,19.9,1,0,78.4,15,0
basic,monthly,1,4,61,26.67,1,18,17,0.397,14.95,1,18.6,3,0,34.3,14,0
pro,annual,1,2,125,65.17,0,25,14,0.874,13.81,1,17.0,2,0,48.4,6,0
basic,monthly,1,24,70,31.84,0,14,9,0.536,10.53,1,10.8,2,1,38.1,6,0
basic,annual,0,3,44,21.37,0,20,19,0.705,11.32,1,5.1,1,0,52.1,5,0
basic,monthly,1,27,125,24.63,0,10,13,0.623,13.37,0,17.4,3,2,26.7,0,0
basic,monthly,1,8,41,22.6,0,18,1,0.458,12.0,1,29.6,4,0,-0.1,2,1
pro,annual,0,42,28,60.45,1,11,17,0.576,13.85,1,7.7,4,2,-8.8,10,0
basic,monthly,0,20,106,16.94,1,12,14,0.531,9.07,0,7.1,2,1,11.6,9,0
basic,monthly,1,4,39,19.88,1,24,6,0.634,18.56,1,28.3,3,0,27.9,10,0
basic,annual,1,33,39,15.7,0,12,15,0.659,10.92,1,13.5,1,0,48.6,1,0
pro,monthly,1,16,156,62.93,0,19,14,1.0,12.09,1,3.3,2,2,60.8,1,0
basic,monthly,0,12,106,31.23,0,17,8,0.668,15.59,1,5.4,4,1,26.3,21,1
basic,monthly,1,31,108,29.55,0,11,21,0.337,12.73,1,13.2,3,2,31.1,16,1
basic,annual,0,45,29,29.06,0,8,14,0.797,10.85,0,22.9,2,0,44.1,21,1
enterprise,annual,0,47,32,161.05,0,4,9,0.878,15.3,1,12.5,3,0,56.5,9,0
enterprise,monthly,1,20,78,205.79,0,9,9,0.742,11.17,1,13.8,2,1,53.0,9,0
pro,monthly,1,40,78,54.27,1,5,10,0.491,12.21,1,0.0,2,0,24.5,10,0
basic,monthly,1,10,90,28.39,0,13,12,0.521,11.83,1,5.4,6,3,21.7,7,0
enterprise,monthly,1,40,27,153.66,1,8,14,0.982,21.53,1,8.3,4,2,33.3,1,0
pro,annual,1,45,179,41.68,0,7,11,0.781,16.86,1,15.2,2,1,44.0,15,0
pro,monthly,1,24,73,53.05,1,15,12,0.935,16.81,1,5.8,0,4,67.6,3,0
basic,monthly,1,25,163,23.32,0,10,13,0.806,15.13,1,0.0,3,0,47.8,3,0
basic,monthly,1,27,80,17.17,0,13,11,0.608,7.89,0,23.5,0,0,80.6,12,0
basic,monthly,1,3,94,18.82,0,24,15,0.004,8.58,1,0.0,8,0,-46.0,8,1
enterprise,annual,1,41,23,187.66,0,10,18,0.609,10.33,1,5.4,2,0,54.1,4,0
basic,monthly,1,35,135,29.53,0,14,11,0.293,9.61,1,17.1,3,0,43.4,19,0
basic,monthly,1,41,12,25.05,0,3,10,0.826,13.21,1,16.9,2,2,67.6,21,0
basic,annual,1,5,149,38.82,0,18,11,0.663,6.84,1,2.4,0,0,46.5,11,0
pro,annual,1,38,176,43.66,1,10,16,0.652,11.06,1,13.8,2,1,,8,0
basic,monthly,0,17,72,27.22,0,15,6,0.477,11.24,0,26.6,4,3,21.4,4,1
pro,annual,1,39,177,53.99,0,3,7,0.886,16.09,1,12.3,4,1,15.5,18,1
pro,monthly,1,47,140,66.59,1,9,15,0.529,8.82,0,12.9,3,1,11.2,5,0
pro,annual,1,42,1,58.1,0,4,10,0.458,8.38,1,11.2,4,0,-3.7,15,0
basic,monthly,1,43,41,25.8,1,9,15,0.323,7.37,0,14.0,4,2,12.8,10,0
pro,monthly,1,5,128,39.09,0,15,12,0.71,11.3,1,14.9,2,1,46.5,3,1
pro,monthly,0,15,140,50.89,0,18,11,0.544,7.88,1,17.5,3,0,29.5,16,0
pro,monthly,0,14,19,65.28,0,15,13,0.87,17.2,1,5.9,1,0,43.2,13,0
basic,monthly,0,24,137,20.74,0,10,7,0.567,13.73,0,23.1,2,1,20.7,8,0
basic,monthly,0,46,162,26.61,0,9,8,0.317,18.04,0,24.5,6,0,-0.0,14,1
basic,monthly,0,32,19,17.26,0,14,16,0.524,9.55,1,11.0,3,3,37.6,10,1
basic,monthly,1,26,176,32.61,0,7,10,0.39,12.92,1,0.0,3,1,22.4,20,0
basic,monthly,0,38,107,26.12,0,10,12,0.543,7.61,1,13.3,3,1,14.7,2,0
basic,monthly,1,8,123,26.98,1,24,15,0.761,16.97,1,0.0,5,0,13.1,12,0
basic,annual,0,31,11,20.79,1,10,6,0.536,10.57,1,22.1,4,1,29.3,8,0
pro,annual,1,24,123,77.71,0,10,6,0.563,11.13,1,12.0,4,0,9.1,6,0
basic,monthly,1,9,91,38.19,0,18,15,0.643,15.68,1,10.9,2,1,48.3,4,1
enterprise,monthly,0,30,74,152.96,0,5,9,0.686,15.76,1,14.1,3,0,,12,0
pro,monthly,1,40,156,51.22,0,12,12,0.779,9.73,0,7.3,3,1,34.2,14,0
basic,monthly,1,39,50,30.73,0,6,14,0.621,11.41,1,19.2,2,1,55.6,20,0
pro,annual,1,40,12,50.36,0,6,7,0.492,15.23,1,9.7,2,0,34.8,9,0
basic,monthly,0,38,100,23.99,0,10,10,0.326,8.85,1,13.8,2,0,15.8,3,0
enterprise,monthly,1,22,149,216.59,0,15,12,0.695,13.09,1,5.8,3,0,13.0,16,0
basic,monthly,1,2,27,26.19,0,19,15,0.635,13.43,0,16.5,4,2,-5.4,8,1
pro,monthly,1,46,196,34.13,1,5,10,0.993,18.18,1,11.6,2,3,,7,0
basic,annual,0,21,134,21.55,0,17,11,0.357,12.15,1,6.7,5,0,3.4,12,0
basic,monthly,0,30,186,33.91,0,13,19,0.379,9.54,0,10.6,3,3,45.6,13,0
basic,monthly,1,0,94,24.34,0,14,13,0.735,6.52,1,18.6,2,1,49.6,13,1
enterprise,monthly,1,42,25,199.55,0,6,14,0.794,14.87,0,17.2,0,0,69.9,2,0
pro,annual,0,42,36,60.07,0,5,4,0.646,12.4,0,8.3,4,0,16.0,23,0
basic,monthly,1,44,100,30.36,0,5,6,0.679,17.4,1,12.7,3,3,23.0,17,1
basic,annual,1,8,118,15.12,0,17,16,0.782,14.42,0,18.3,3,0,48.6,22,0
basic,annual,0,40,147,26.27,0,6,10,0.745,10.77,1,7.7,3,0,31.2,23,0
basic,monthly,0,29,159,31.71,1,13,11,0.432,6.85,1,13.3,0,1,34.2,9,0
basic,annual,1,7,152,35.16,0,4,7,0.637,11.31,1,11.8,3,0,51.9,8,1
basic,monthly,1,27,118,23.69,1,11,16,0.762,13.66,0,23.4,1,0,48.5,19,0
pro,monthly,1,22,4,43.16,0,13,15,0.626,12.07,1,10.5,2,2,26.2,22,1
pro,monthly,1,30,106,55.43,1,13,12,0.746,8.69,1,4.8,3,1,66.0,1,1
basic,monthly,0,4,164,24.37,0,14,14,0.453,2.36,1,8.6,3,2,14.7,11,1
pro,monthly,1,27,169,63.8,0,10,11,0.507,8.17,1,10.6,5,1,4.0,13,1
basic,monthly,1,32,167,33.94,0,13,10,0.633,4.48,0,7.2,5,0,35.5,3,0
pro,monthly,1,34,3,46.4,0,11,10,0.845,10.12,0,7.2,1,0,86.0,4,0
basic,monthly,1,36,87,23.7,1,7,14,0.696,12.9,1,10.9,3,1,35.7,8,0
pro,monthly,1,30,123,61.91,0,12,11,0.438,14.97,1,7.2,4,2,40.8,0,0
pro,monthly,1,33,50,61.95,0,8,12,0.915,6.15,1,13.9,0,0,64.9,8,0
pro,monthly,1,4,82,61.47,0,21,12,0.784,9.63,1,0.0,1,0,40.1,22,0
basic,annual,0,38,20,26.16,0,6,15,0.763,13.76,1,9.3,1,1,36.9,22,0
enterprise,annual,1,17,39,167.67,0,10,9,0.593,10.2,1,8.0,1,1,67.0,23,0
basic,monthly,1,26,2,26.0,1,10,18,0.712,12.76,0,16.1,2,0,51.2,3,0
basic,monthly,1,26,195,27.38,0,11,10,0.676,13.19,1,7.5,1,1,53.9,23,0
pro,monthly,0,46,172,56.73,1,8,9,0.453,9.48,1,4.2,3,1,13.3,18,1
basic,annual,1,15,81,20.8,0,16,21,0.64,15.46,1,13.5,0,0,50.1,20,1
pro,monthly,1,18,1,66.06,0,17,9,0.496,18.26,0,12.4,3,0,32.5,21,0
pro,annual,1,36,67,57.93,0,9,12,0.684,8.9,0,11.7,2,0,26.6,4,0
basic,monthly,1,30,87,21.47,0,8,16,0.979,16.65,0,10.9,1,0,42.9,14,0
enterprise,monthly,0,15,34,179.32,0,15,7,0.814,19.21,1,21.7,3,1,32.0,2,0
basic,annual,1,16,132,27.15,0,19,15,0.541,15.59,1,12.9,4,0,21.0,8,0
basic,monthly,1,39,199,30.72,0,9,6,0.295,7.7,1,21.5,5,2,-1.9,1,1
basic,annual,1,40,168,21.81,0,4,11,0.614,10.7,1,10.3,0,0,78.8,23,0
enterprise,monthly,0,7,171,183.02,0,7,20,0.734,7.21,1,8.7,3,0,60.1,11,1
basic,monthly,0,19,166,30.68,0,12,3,0.2,7.49,1,15.1,4,1,10.6,22,0
basic,monthly,1,36,14,25.65,0,7,11,0.365,8.57,1,,2,1,14.3,22,1
basic,monthly,0,5,110,23.99,0,19,12,0.722,13.71,1,12.7,4,0,33.2,18,1
enterprise,monthly,1,8,113,186.19,0,9,8,0.994,10.56,1,9.4,1,2,55.4,21,0
pro,monthly,1,7,21,51.57,0,20,8,0.695,12.39,1,6.7,4,1,-16.0,9,1
pro,monthly,1,25,30,50.31,0,15,17,0.864,13.81,1,7.4,2,1,75.4,17,0
pro,monthly,1,21,113,56.72,0,11,13,0.688,10.73,1,14.2,4,0,8.2,2,0
pro,monthly,1,15,143,77.41,0,11,5,0.546,13.79,1,2.2,4,0,50.1,20,0
basic,monthly,0,6,42,33.5,0,7,8,0.958,12.39,1,22.5,3,1,44.1,7,0
basic,monthly,0,30,97,18.33,0,9,10,0.308,10.82,0,21.5,4,3,29.9,22,0
pro,monthly,0,38,15,70.71,0,7,5,0.758,8.65,1,6.3,4,1,51.5,23,1
pro,annual,0,10,22,67.79,0,17,14,0.565,9.05,1,13.5,2,0,50.5,18,0
basic,monthly,1,31,116,15.12,0,11,13,0.525,14.03,0,23.1,5,2,15.9,21,1
basic,monthly,1,38,111,28.29,0,6,12,0.848,8.08,0,20.0,2,5,50.6,22,0
pro,annual,0,26,150,63.08,0,12,20,0.69,14.4,1,7.4,3,0,,2,0
basic,monthly,0,27,182,20.01,1,13,9,0.504,10.04,1,2.3,4,3,-1.4,22,0
enterprise,monthly,1,8,38,126.84,1,13,11,0.664,5.89,1,3.9,2,1,30.5,0,0
basic,monthly,0,45,68,22.35,0,5,9,0.663,10.65,1,12.5,2,0,11.8,9,0
basic,monthly,1,45,171,20.48,0,8,15,0.392,12.55,1,15.0,2,2,23.7,20,0
pro,monthly,1,34,11,54.67,0,9,15,0.699,19.12,1,8.5,2,1,,1,0
basic,annual,0,43,165,23.75,0,10,7,0.538,16.82,0,20.6,4,0,28.8,23,0
basic,annual,1,29,189,22.97,0,10,18,0.421,7.74,1,10.6,2,0,-1.9,5,0
pro,monthly,0,31,20,52.13,1,18,10,0.424,12.94,1,12.0,2,2,27.0,14,1
pro,monthly,1,39,29,57.13,0,6,15,0.688,10.79,1,21.1,4,0,29.0,23,0
basic,annual,1,1,137,22.7,0,20,17,0.495,9.14,1,13.1,3,0,29.8,8,0
basic,monthly,1,10,95,29.33,0,10,14,0.602,14.63,1,11.4,4,2,-1.5,6,1
pro,monthly,1,9,197,74.17,0,14,11,0.292,10.43,1,8.1,2,0,46.3,19,0
enterprise,monthly,1,30,109,214.94,0,12,11,0.679,12.77,0,19.0,1,1,49.1,4,1
basic,monthly,1,11,131,20.33,1,19,16,0.716,7.26,1,11.9,3,1,27.6,12,1
basic,monthly,1,18,48,29.37,0,14,15,0.265,6.69,1,16.9,2,3,8.0,15,1
basic,monthly,1,23,65,29.36,0,11,15,0.899,10.7,1,17.6,4,2,31.9,10,1
basic,monthly,1,35,36,24.24,0,8,14,0.627,13.3,1,22.9,3,0,7.6,2,0
basic,monthly,1,24,30,22.6,0,10,13,0.536,13.41,0,20.9,5,1,12.9,12,0
pro,annual,0,1,23,62.58,0,12,18,0.701,17.41,0,14.8,0,0,31.6,21,0
basic,monthly,1,32,178,28.56,0,6,9,0.408,7.63,1,14.3,4,0,6.0,17,0
basic,monthly,1,20,14,20.07,0,14,13,0.817,18.18,1,12.2,1,0,49.1,7,0
pro,monthly,0,5,103,38.48,1,17,11,0.714,11.5,0,15.3,1,1,39.0,22,0
pro,monthly,1,31,102,54.1,0,8,21,0.694,12.4,1,16.4,1,1,40.8,20,1
basic,annual,0,12,12,18.13,1,23,18,0.742,12.1,1,9.4,1,1,42.9,4,0
pro,annual,1,22,168,57.91,0,13,17,0.751,13.27,1,0.3,2,1,44.0,11,0
pro,monthly,1,46,100,72.47,0,4,13,0.559,13.45,1,9.0,3,0,43.4,3,0
pro,monthly,1,11,26,57.12,0,21,14,0.676,15.17,1,9.3,2,3,62.0,11,1
basic,monthly,1,42,26,32.15,0,11,23,0.664,11.25,1,18.1,3,1,47.6,1,0
basic,monthly,0,22,140,20.89,1,15,18,0.572,11.7,1,11.3,5,1,33.6,12,0
enterprise,monthly,0,44,124,143.44,0,8,10,0.519,8.38,0,11.5,7,1,10.9,20,1
basic,monthly,1,40,83,23.65,0,10,11,0.814,14.92,1,8.5,4,1,29.6,10,1
basic,monthly,1,39,81,22.48,0,10,13,0.59,12.34,1,8.4,3,1,24.9,7,0
basic,monthly,1,9,8,21.65,0,13,10,0.49,8.61,1,7.1,1,0,68.5,0,0
pro,monthly,1,37,7,47.05,1,10,11,0.799,9.06,1,0.9,1,1,54.4,2,1
enterprise,monthly,1,17,107,109.57,1,19,8,0.672,12.52,1,0.0,3,0,16.2,19,0
basic,monthly,1,43,73,28.56,0,16,4,0.286,13.63,1,17.1,3,1,25.5,19,0
enterprise,monthly,1,47,51,202.12,0,10,20,0.76,17.32,1,9.3,6,0,37.4,15,0
basic,monthly,1,29,76,29.91,0,8,10,0.682,8.21,1,24.7,4,3,38.3,18,0
pro,monthly,0,43,121,55.13,1,16,12,0.632,14.6,1,0.0,0,2,52.4,5,0
pro,monthly,0,25,59,55.87,0,15,13,0.639,14.23,0,25.8,4,2,41.2,10,1
basic,monthly,1,1,70,31.48,0,17,16,0.527,15.32,1,11.2,2,1,19.4,10,0
basic,annual,1,41,57,36.18,0,6,14,0.542,12.68,1,2.5,5,0,18.1,11,1
basic,annual,1,25,133,25.55,1,9,16,0.587,10.52,0,6.0,2,2,33.3,19,0
enterprise,monthly,1,2,11,172.83,0,17,16,0.904,15.78,1,4.8,4,0,24.1,12,0
pro,monthly,1,3,183,64.29,0,18,13,0.813,5.15,0,19.5,0,1,50.9,23,0
enterprise,annual,1,34,111,203.07,0,7,16,1.0,11.03,0,15.6,3,1,49.0,23,0
pro,monthly,0,44,49,70.88,0,12,12,0.995,11.36,1,5.8,3,3,45.8,8,0
basic,monthly,1,33,152,24.68,0,10,16,0.406,8.42,1,18.8,4,3,29.5,17,1
pro,monthly,0,21,188,49.11,1,6,5,0.639,7.28,1,8.7,2,1,24.6,15,0
basic,monthly,1,14,12,20.72,0,14,18,0.69,10.45,1,2.5,3,1,75.9,19,0
basic,monthly,1,20,41,17.16,1,7,8,0.238,7.77,1,19.8,4,5,11.4,17,1
pro,monthly,1,15,29,56.43,0,19,8,0.737,11.63,1,1.8,0,0,65.2,20,0
pro,monthly,0,13,15,67.73,1,20,9,0.526,12.01,1,1.6,1,2,55.2,2,0
basic,monthly,0,6,148,21.48,0,18,14,0.551,7.55,0,16.7,2,1,13.2,7,1
basic,monthly,1,27,39,28.35,0,15,22,0.562,10.02,1,14.0,1,1,75.5,6,0
pro,monthly,1,10,77,64.53,0,10,11,0.362,9.9,1,4.2,2,1,18.6,10,1
pro,monthly,1,6,163,35.88,1,21,14,1.0,8.44,0,3.4,4,1,52.7,22,0
pro,monthly,0,13,122,51.69,0,7,14,0.583,11.28,1,4.4,3,0,37.0,4,0
basic,monthly,1,38,135,24.55,0,10,10,0.819,13.63,1,18.0,2,1,41.8,10,1
basic,monthly,0,27,20,33.68,0,8,11,0.266,11.87,1,12.0,9,0,-19.8,21,1
basic,annual,1,23,194,25.08,0,10,11,0.442,6.69,1,18.7,3,0,21.5,6,0
pro,monthly,1,28,17,48.42,0,17,21,0.821,12.47,0,17.1,2,0,52.9,21,0
pro,monthly,1,27,142,68.58,0,14,13,0.634,15.52,0,10.7,4,0,33.7,13,0
basic,monthly,1,23,128,29.18,0,12,15,0.701,7.0,1,7.7,0,0,58.6,17,0
basic,annual,1,40,83,20.01,0,6,8,0.671,12.01,1,13.2,3,1,37.5,5,0
basic,annual,1,35,167,18.8,0,14,8,0.408,5.88,1,13.2,0,0,37.8,12,1
pro,annual,1,8,178,75.31,0,14,15,0.897,12.09,1,8.7,2,0,36.5,19,0
pro,monthly,1,39,14,43.86,1,4,12,0.78,10.27,1,9.2,3,1,51.0,1,0
basic,monthly,1,8,191,27.22,0,16,17,0.296,10.9,1,11.2,5,2,-10.0,22,0
basic,monthly,1,3,48,36.04,0,10,8,0.575,10.56,0,17.3,3,3,51.8,5,1
pro,monthly,1,20,158,42.06,0,12,12,0.794,8.93,0,9.1,2,0,32.2,15,0
basic,monthly,1,18,164,19.86,1,18,8,0.538,15.8,1,5.6,4,3,20.0,22,0
pro,monthly,1,37,111,61.49,1,7,9,0.685,12.64,0,18.5,2,4,51.0,15,1
basic,monthly,0,33,172,30.9,0,10,6,0.644,14.82,1,6.1,1,1,65.1,19,0
basic,annual,0,2,165,21.22,1,19,13,0.262,6.29,0,6.7,5,0,3.3,8,0
enterprise,monthly,1,23,105,204.91,0,17,19,0.72,11.14,1,5.9,4,0,58.1,2,0
basic,monthly,1,38,36,21.34,1,6,8,0.489,13.93,0,19.7,2,2,9.3,12,1
basic,monthly,1,35,87,17.02,1,10,9,0.692,9.9,1,11.0,3,1,1.1,17,0
basic,annual,1,24,180,22.87,0,6,11,0.454,10.71,0,10.8,7,0,-30.6,19,1
basic,annual,1,29,41,21.28,1,8,11,0.907,13.24,1,18.6,4,1,11.0,3,1
basic,monthly,0,26,199,20.47,0,11,15,0.45,3.61,1,13.4,6,0,-19.0,13,1
basic,annual,1,11,37,22.56,0,22,9,0.353,9.91,1,18.9,2,0,19.6,11,0
basic,annual,1,27,133,18.09,1,11,2,0.777,11.4,1,11.7,2,0,37.1,2,0
basic,annual,1,32,128,21.41,0,9,12,0.663,11.48,1,14.9,3,0,26.0,13,0
pro,annual,1,2,39,54.38,0,21,21,0.744,10.31,0,7.2,2,0,25.5,12,0
pro,monthly,0,33,94,53.01,0,8,11,0.631,7.92,1,0.0,3,1,31.2,3,0
basic,annual,0,11,29,20.53,0,18,15,0.491,8.5,1,12.2,3,1,37.3,2,0
basic,monthly,1,0,73,27.93,0,16,13,0.637,10.24,1,4.0,3,1,24.1,18,0
basic,annual,1,36,191,22.1,1,12,15,0.452,12.53,1,17.2,2,0,27.8,8,1
pro,monthly,0,18,11,42.23,1,11,11,0.995,12.29,0,19.6,3,2,60.3,3,1
pro,annual,1,19,174,55.31,1,13,12,0.717,12.63,1,9.9,3,0,46.9,22,0
basic,annual,1,29,135,28.39,0,20,21,0.505,11.64,1,7.0,1,1,34.9,8,0
